,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
196,Coritiba,Brazil,2009-08-16,BR1,1,3,1,Fluminense,5.0,3.6,1.7,1.8,2009,2.0
197,Vitoria,Brazil,2009-08-16,BR1,1,2,3,Goias,6.25,3.5,1.62,1.67,2009,2.2
198,Flamengo RJ,Brazil,2009-08-16,BR1,1,1,4,Gremio,4.5,3.5,1.8,1.8,2009,2.0
199,Sao Paulo,Brazil,2009-08-16,BR1,1,2,1,Sport Recife,2.5,3.2,2.88,1.95,2009,1.85
200,Nautico,Brazil,2009-08-15,BR1,1,1,2,Avai,6.5,3.8,1.53,1.6,2009,2.29
201,Botafogo RJ,Brazil,2009-08-15,BR1,1,1,1,Palmeiras,6.0,3.8,1.57,1.75,2009,2.04
202,Internacional,Brazil,2009-08-15,BR1,1,2,0,Santo Andre,2.5,3.4,2.88,1.75,2009,2.04
203,Palmeiras,Brazil,2009-08-13,BR1,1,1,1,Atletico-MG,2.63,3.25,2.7,1.85,2009,1.95
204,Sport Recife,Brazil,2009-08-11,BR1,1,0,3,Internacional,8.5,4.5,1.4,1.53,2009,2.4
205,Gremio,Brazil,2009-08-09,BR1,1,0,1,Barueri,2.88,3.3,2.4,1.7,2009,2.1
206,Cruzeiro,Brazil,2009-08-09,BR1,1,3,1,Coritiba,2.7,3.3,2.6,2.0,2009,1.8
207,Corinthians,Brazil,2009-08-09,BR1,1,0,1,Flamengo RJ,5.25,3.6,1.67,1.8,2009,2.0
208,Goias,Brazil,2009-08-09,BR1,1,1,3,Sao Paulo,5.25,3.6,1.7,1.8,2009,2.0
209,Fluminense,Brazil,2009-08-09,BR1,1,2,2,Vitoria,4.2,3.4,1.85,1.8,2009,2.0
210,Atletico-PR,Brazil,2009-08-08,BR1,1,1,0,Botafogo RJ,5.25,3.5,1.7,1.65,2009,2.2
211,Santo Andre,Brazil,2009-08-08,BR1,1,1,2,Nautico,3.1,3.3,2.38,1.85,2009,1.95
212,Avai,Brazil,2009-08-08,BR1,1,2,2,Santos,4.75,3.4,1.8,1.7,2009,2.1
213,Vitoria,Brazil,2009-08-07,BR1,1,0,4,Barueri,4.0,3.4,1.91,1.62,2009,2.29
214,Sport Recife,Brazil,2009-08-07,BR1,1,1,5,Fluminense,4.33,3.4,1.8,1.95,2009,1.85
215,Gremio,Brazil,2009-08-07,BR1,1,1,1,Palmeiras,5.0,3.6,1.73,1.8,2009,2.0
216,Santo Andre,Brazil,2009-08-06,BR1,1,0,1,Avai,5.25,3.6,1.62,1.7,2009,2.1
217,Santos,Brazil,2009-08-06,BR1,1,1,0,Coritiba,2.2,3.25,3.2,1.65,2009,2.2
218,Atletico-PR,Brazil,2009-08-06,BR1,1,2,0,Cruzeiro,6.5,4.2,1.44,1.65,2009,2.25
219,Flamengo RJ,Brazil,2009-08-06,BR1,1,2,3,Goias,3.4,3.2,2.04,1.73,2009,2.08
220,Corinthians,Brazil,2009-08-06,BR1,1,0,1,Nautico,2.63,3.25,2.45,1.75,2009,2.04
221,Botafogo RJ,Brazil,2009-08-06,BR1,1,1,3,Sao Paulo,4.5,3.5,1.8,1.65,2009,2.2
222,Coritiba,Brazil,2009-08-02,BR1,1,2,3,Atletico-MG,6.0,3.8,1.57,1.7,2009,2.1
223,Fluminense,Brazil,2009-08-02,BR1,1,0,1,Atletico-PR,2.5,3.2,2.88,1.95,2009,1.85
224,Avai,Brazil,2009-08-02,BR1,1,0,0,Corinthians,4.0,3.3,1.95,1.9,2009,1.9
225,Nautico,Brazil,2009-08-02,BR1,1,1,1,Flamengo RJ,8.0,4.75,1.36,1.5,2009,2.6
226,Cruzeiro,Brazil,2009-08-02,BR1,1,1,4,Gremio,4.33,3.6,1.83,1.75,2009,2.04
227,Goias,Brazil,2009-08-02,BR1,1,2,1,Santo Andre,2.8,3.4,2.4,1.75,2009,2.04
228,Sao Paulo,Brazil,2009-08-02,BR1,1,1,0,Vitoria,2.7,3.2,2.6,1.8,2009,2.0
